Metro,datetime,isPartial,LGBT,Same sex marriage,They,Pronouns,Starbucks,rel_pop_LGBT,rel_pop_Same sex marriage,rel_pop_They,rel_pop_Pronouns,rel_pop_Starbucks
Boston-Cambridge-Newton,2016-09-01,False,28.571428571428573,0.0,69.0,66.66666666666667,62.06896551724138,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-10-01,False,57.142857142857146,0.0,75.0,100.0,63.793103448275865,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-11-01,False,100.0,20.0,75.0,66.66666666666667,79.3103448275862,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2016-12-01,False,57.142857142857146,0.0,67.0,66.66666666666667,77.58620689655173,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-01-01,False,100.0,0.0,77.0,66.66666666666667,62.06896551724138,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-02-01,False,57.142857142857146,0.0,81.0,66.66666666666667,65.51724137931035,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-03-01,False,57.142857142857146,0.0,77.0,66.66666666666667,63.793103448275865,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-04-01,False,57.142857142857146,0.0,74.0,66.66666666666667,86.20689655172414,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-05-01,False,42.857142857142854,0.0,74.0,100.0,72.41379310344827,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-06-01,False,71.42857142857143,20.0,74.0,66.66666666666667,74.13793103448276,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-07-01,False,42.857142857142854,0.0,67.0,33.333333333333336,72.41379310344827,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-08-01,False,57.142857142857146,0.0,67.0,0.0,68.96551724137932,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-09-01,False,42.857142857142854,0.0,74.0,100.0,65.51724137931035,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-10-01,False,42.857142857142854,0.0,74.0,100.0,68.96551724137932,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-11-01,False,42.857142857142854,0.0,76.0,100.0,77.58620689655173,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2017-12-01,False,42.857142857142854,0.0,71.0,66.66666666666667,82.75862068965517,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2018-01-01,False,42.857142857142854,0.0,78.0,100.0,62.06896551724138,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2018-02-01,False,57.142857142857146,0.0,79.0,100.0,62.06896551724138,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2018-03-01,False,57.142857142857146,0.0,74.0,100.0,65.51724137931035,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2018-04-01,False,42.857142857142854,0.0,83.0,100.0,87.93103448275862,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2018-05-01,False,57.142857142857146,0.0,80.0,100.0,72.41379310344827,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2018-06-01,False,71.42857142857143,0.0,72.0,66.66666666666667,70.6896551724138,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2018-07-01,False,57.142857142857146,0.0,68.0,33.333333333333336,74.13793103448276,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2018-08-01,False,42.857142857142854,0.0,67.0,33.333333333333336,75.86206896551724,7.0,5.0,100.0,3.0,58.0
Boston-Cambridge-Newton,2018-09-01,False,42.857142857142854,0.0,76.0,100.0,68.96551724137932,7.0,5.0,100.0,3.0,58.0
